name,host_star,discovery_year,method,distance_pc,period_days,radius_earth,mass_earth,eq_temp_k
K2-258 b,K2-258,2018,Transit,661.87,19.0921,3.0,,831
WASP-184 b,WASP-184,2019,Transit,663.23,5.1817,14.91,181.16,1480
K2-260 b,K2-260,2018,Transit,663.83,2.6267,18.42,546.66,2090
HAT-P-53 b,HAT-P-53,2015,Transit,666.8,1.9616,14.77,471.66,1778
WASP-188 b,WASP-188,2025,Transit,675.28,5.7489,14.82,458.63,1666
HATS-61 b,HATS-61,2018,Transit,679.76,7.818,13.39,1080.62,1226
NGTS-24 b,NGTS-24,2022,Transit,683.06,3.4679,13.61,165.27,1499
K2-107 b,K2-107,2017,Transit,685.2,3.314,15.98,,1649
Kepler-428 b,Kepler-428,2014,Transit,686.28,3.5256,12.11,403.63,1070
Kepler-416 d,Kepler-416,2023,Transit,690.82,3.0764,1.61,,1253
Kepler-297 d,Kepler-297,2023,Transit,692.14,150.019,32.6,,325
Kepler-290 d,Kepler-290,2023,Transit,694.63,0.764,0.86,,1589
K2-351 b,K2-351,2021,Transit,694.73,7.8062,2.54,,934
HAT-P-39 b,HAT-P-39,2012,Transit,697.0,3.5439,17.61,190.37,1752
Kepler-1999 b,Kepler-1999,2023,Transit,701.26,8.7397,3.29,,577
K2-246 b,K2-246,2018,Transit,703.62,5.7692,3.49,,977
Qatar-7 b,Qatar-7,2019,Transit,705.98,2.032,19.06,597.52,2053
K2-127 b,K2-127,2017,Transit,710.0,3.5882,8.37,,809
WASP-159 b,WASP-159,2018,Transit,715.38,3.8404,15.47,174.81,1850
Kepler-17 b,Kepler-17,2011,Transit,720.75,1.4857,14.68,778.65,1570
Kepler-1814 c,Kepler-1814,2023,Transit,726.35,0.6263,1.76,,1711
CoRoT-4 b,CoRoT-4,2008,Transit,726.41,9.2021,13.34,228.83,1074
Kepler-553 c,Kepler-553,2016,Transit,728.53,328.2402,11.58,2129.45,251
Kepler-553 b,Kepler-553,2016,Transit,728.53,4.0305,4.74,116.01,1089
Kepler-69 b,Kepler-69,2013,Transit,730.63,13.7223,2.24,,779
Kepler-69 c,Kepler-69,2013,Transit,730.63,242.4613,1.71,,299
WASP-142 b,WASP-142,2016,Transit,730.93,2.0529,17.15,266.98,2000
Qatar-3 b,Qatar-3,2017,Transit,735.6,2.5079,12.29,1369.85,1681
HATS-41 b,HATS-41,2018,Transit,737.67,4.1936,14.91,3082.95,1710
K2-340 b,K2-340,2021,Transit,738.14,29.7405,3.36,,606
HAT-P-65 b,HAT-P-65,2016,Transit,738.52,2.6054,18.06,176.08,1818
K2-7 b,K2-7,2015,Transit,738.55,28.6781,4.04,,786
HATS-32 b,HATS-32,2016,Transit,745.12,2.8127,14.0,292.4,1437
HATS-12 b,HATS-12,2016,Transit,746.14,3.1427,7.76,,1446
HATS-54 b,HATS-54,2019,Transit,748.59,2.5442,11.38,239.32,1429
HATS-16 b,HATS-16,2016,Transit,757.04,2.6865,14.57,1039.3,1592
WASP-171 b,WASP-171,2019,Transit,757.84,3.8186,10.98,344.53,1642
Kepler-725 b,Kepler-725,2016,Transit,758.47,39.6437,10.8,,514
Kepler-423 b,Kepler-423,2014,Transit,758.75,2.6843,13.36,189.1,1605
CoRoT-18 b,CoRoT-18,2011,Transit,764.89,1.9001,14.68,1102.82,1550
HATS-45 b,HATS-45,2018,Transit,772.11,4.1876,14.41,222.48,1518
HATS-31 b,HATS-31,2016,Transit,773.97,3.378,18.38,279.69,1823
Kepler-2001 c,Kepler-2001,2023,Transit,776.55,14.0926,1.82,,597
Kepler-2001 b,Kepler-2001,2023,Transit,776.55,1.09,1.04,,1402
Kepler-46 b,Kepler-46,2012,Transit,777.06,33.6013,9.06,1907.0,543
Kepler-311 d,Kepler-311,2023,Transit,778.65,232.0403,2.05,,327
Kepler-51 d,Kepler-51,2014,Transit,783.83,130.194,9.7,7.6,381
Kepler-51 c,Kepler-51,2012,Transit,783.83,85.312,9.0,4.0,439
Kepler-51 b,Kepler-51,2012,Transit,783.83,45.154,7.1,2.1,543
K2-278 b,K2-278,2018,Transit,786.44,3.335,2.98,,1711
NGTS-15 b,NGTS-15,2021,Transit,786.49,3.2762,12.33,238.69,1146
CoRoT-1 b,CoRoT-1,2008,Transit,787.91,1.509,16.7,327.35,1898
CoRoT-19 b,CoRoT-19,2011,Transit,790.66,3.8971,14.46,352.78,2000
HATS-8 b,HATS-8,2015,Transit,794.64,3.5839,9.79,43.86,1324
HATS-42 b,HATS-42,2018,Transit,800.38,2.2921,15.69,597.52,1856
HATS-27 b,HATS-27,2016,Transit,816.99,4.637,16.81,168.45,1659
Kepler-849 b,Kepler-849,2016,Transit,822.13,394.6251,8.08,298.76,363
Kepler-76 b,Kepler-76,2013,Orbital Brightness Modulation,822.96,1.5449,15.24,638.84,2140
Kepler-75 b,Kepler-75,2013,Transit,835.36,8.8849,11.77,3209.9,767
Kepler-1704 b,Kepler-1704,2021,Transit,835.46,988.8811,11.95,1322.17,254
NGTS-32 b,NGTS-32,2025,Transit,837.46,3.3121,15.92,181.16,1750
Kepler-1801 c,Kepler-1801,2023,Transit,839.33,116.5832,2.91,,371
Kepler-426 b,Kepler-426,2014,Transit,843.7,3.2175,12.22,108.06,1300
Kepler-90 i,KOI-351,2017,Transit,848.25,14.4491,1.32,,709
Kepler-1991 b,Kepler-1991,2023,Transit,855.82,13.2608,1.47,,760
